Rk,Player,Club,MP,Min
1,Hussein Ali,1.pl Pogoń Szczecin,2,162
2,Mohanad Ali,1.ae Dibba Al Fujairah,1,13
3,Amir Al Ammari,1.pl Cracovia,3,247
4,Youssef Amyn,1.cy AEK Larnaca,1,31
5,Ahmed Basil,1.iq Al-Shorta,2,135
6,Ibrahim Bayesh,1.ae Al Dhafra SCC,3,235
7,Frans Dhia Putros,1.id Persib Bandung,1,90
8,Merchas Doski,1.cz Viktoria Plzeň,3,270
9,Marko Farji,2.it Venezia,2,54
10,Ali Al Hamadi,2.eng Ipswich Town,3,180
11,Akam Hashim,1.iq Al-Zawra'a SC,3,270
12,Jalal Hassan,1.iq Al-Zawra'a SC,2,135
13,Ayman Hussein,1.iq Al-Karma,2,115
14,Zidane Iqbal,1.nl Utrecht,3,188
15,Zaid Ismail,1.iq Al-Talaba,2,117
16,Ali Jasim,1.sa Al-Najma,2,129
17,Ahmed Maknzi,1.iq Al-Karma,1,33
18,Ahmed Qasem,1.us Nashville SC,3,123
19,Mustafa Saadoon,1.iq Al-Shorta,1,18
20,Aimar Sher,1.no Sarpsborg 08,1,23
21,Rebin Sulaka,1.th Port FC,2,43
22,Zaid Tahseen,1.uz Pakhtakor Tashkent FK,2,149
23,Fahad Talib,1.iq Al-Talaba,0,
24,Ahmed Yahya,1.iq Al-Shorta,,
25,Kevin Yakob,1.dk AGF,1,24
26,Manaf Younis,1.iq Al-Shorta,1,75
27,Ali Yousif,1.iq Al-Talaba,1,33
28,Ali Abdi,1.fr Nice,3,269
29,Elias Achouri,1.dk FC Copenhagen,3,43
30,Adem Arous,1.tr Kasımpaşa,0,
31,Khalil Ayari,1.fr PSG,0,
32,Sabri Ben Hassen,1.tn Étoile du Sahel,0,
33,Mortadha Ben Ouanes,1.tr Kasımpaşa,1,23
34,Anis Ben Slimane,2.eng Norwich City,3,240
35,Dylan Bronn,1.ch Servette FC,1,45
36,Mouhib Chamakh,1.tn Club Africain,1,90
37,Firas Chaouat,1.tn Club Africain,3,49
38,Raed Chikhaoui,1.tn Monastir,0,
39,Aymen Dahmen,1.tn Ahly Sfaxien,2,180
40,Rayan Elloumi,1.us Vancouver,0,
41,Ismaël Gharbi,1.de Augsburg,3,127
42,Mohamed Amine Ben Hamida,1.tn Espérance Tunis,3,202
43,Rani Khedira,1.de Union Berlin,3,149
44,Hadj Mahmoud,1.ch Lugano,2,43
