Rk,Player,Club,MP,Min,MinPerMatch
1,Hussein Ali,1.pl Pogoń Szczecin,2.0,162.0,81.0
2,Mohanad Ali,1.ae Dibba Al Fujairah,1.0,13.0,13.0
3,Amir Al Ammari,1.pl Cracovia,3.0,247.0,82.33333333333333
4,Youssef Amyn,1.cy AEK Larnaca,1.0,31.0,31.0
5,Ahmed Basil,1.iq Al-Shorta,2.0,135.0,67.5
6,Ibrahim Bayesh,1.ae Al Dhafra SCC,3.0,235.0,78.33333333333333
7,Frans Dhia Putros,1.id Persib Bandung,1.0,90.0,90.0
8,Merchas Doski,1.cz Viktoria Plzeň,3.0,270.0,90.0
9,Marko Farji,2.it Venezia,2.0,54.0,27.0
10,Ali Al Hamadi,2.eng Ipswich Town,3.0,180.0,60.0
11,Akam Hashim,1.iq Al-Zawra'a SC,3.0,270.0,90.0
12,Jalal Hassan,1.iq Al-Zawra'a SC,2.0,135.0,67.5
13,Ayman Hussein,1.iq Al-Karma,2.0,115.0,57.5
14,Zidane Iqbal,1.nl Utrecht,3.0,188.0,62.666666666666664
15,Zaid Ismail,1.iq Al-Talaba,2.0,117.0,58.5
16,Ali Jasim,1.sa Al-Najma,2.0,129.0,64.5
17,Ahmed Maknzi,1.iq Al-Karma,1.0,33.0,33.0
18,Ahmed Qasem,1.us Nashville SC,3.0,123.0,41.0
19,Mustafa Saadoon,1.iq Al-Shorta,1.0,18.0,18.0
20,Aimar Sher,1.no Sarpsborg 08,1.0,23.0,23.0
21,Rebin Sulaka,1.th Port FC,2.0,43.0,21.5
22,Zaid Tahseen,1.uz Pakhtakor Tashkent FK,2.0,149.0,74.5
25,Kevin Yakob,1.dk AGF,1.0,24.0,24.0
26,Manaf Younis,1.iq Al-Shorta,1.0,75.0,75.0
27,Ali Yousif,1.iq Al-Talaba,1.0,33.0,33.0
28,Ali Abdi,1.fr Nice,3.0,269.0,89.66666666666667
29,Elias Achouri,1.dk FC Copenhagen,3.0,43.0,14.333333333333334
33,Mortadha Ben Ouanes,1.tr Kasımpaşa,1.0,23.0,23.0
34,Anis Ben Slimane,2.eng Norwich City,3.0,240.0,80.0
35,Dylan Bronn,1.ch Servette FC,1.0,45.0,45.0
36,Mouhib Chamakh,1.tn Club Africain,1.0,90.0,90.0
37,Firas Chaouat,1.tn Club Africain,3.0,49.0,16.333333333333332
39,Aymen Dahmen,1.tn Ahly Sfaxien,2.0,180.0,90.0
41,Ismaël Gharbi,1.de Augsburg,3.0,127.0,42.333333333333336
42,Mohamed Amine Ben Hamida,1.tn Espérance Tunis,3.0,202.0,67.33333333333333
43,Rani Khedira,1.de Union Berlin,3.0,149.0,49.666666666666664
44,Hadj Mahmoud,1.ch Lugano,2.0,43.0,21.5
45,Hazem Mastouri,1.ru D. Makhachkala,1.0,89.0,89.0
46,Hannibal Mejbri,1.eng Burnley,3.0,270.0,90.0
48,Omar Rekik,1.si NK Maribor,2.0,180.0,90.0
49,Elias Saad,2.de Hannover 96,2.0,116.0,58.0
50,Ellyes Skhiri,1.de Frankfurt,3.0,250.0,83.33333333333333
51,Montassar Talbi,1.fr Lorient,3.0,270.0,90.0
52,Sebastian Tounekti,1.sct Celtic,3.0,84.0,28.0
53,Yan Valery,1.ch Young Boys,3.0,251.0,83.66666666666667
54,Abdulla Abdullaev,1.ae Dibba Al Fujairah,2.0,180.0,90.0
55,Khojiakbar Alijonov,1.uz Pakhtakor Tashkent FK,2.0,135.0,67.5
56,Azizbek Amonov,1.uz FK Bukhara Nurafshon,1.0,14.0,14.0
