Squad,Age,MP
Algeria,27.3,4
Argentina,29.6,8
Australia,25.3,4
Austria,28.8,4
Belgium,29.2,6
Bosnia–Herz,26.6,4
Brazil,29.2,5
Cabo Verde,30.8,4
Canada,26.9,5
Colombia,30.0,5
Congo DR,28.8,4
Cote d'Ivoire,25.5,4
Croatia,29.1,4
Curacao,28.9,3
Czechia,27.8,3
Ecuador,26.8,4
Egypt,29.3,5
England,26.5,8
France,26.9,8
Germany,28.1,4
Ghana,27.4,4
Haiti,28.6,3
IR Iran,31.7,3
Iraq,26.4,3
Japan,27.5,4
Jordan,28.2,3
Korea Republic,28.2,3
Mexico,27.6,5
Morocco,26.0,6
Netherlands,27.2,4
New Zealand,28.1,3
Norway,27.1,6
Panama,28.8,3
Paraguay,28.0,5
Portugal,27.7,5
Qatar,29.7,3
Saudi Arabia,28.6,3
Scotland,29.1,3
Senegal,28.5,4
South Africa,26.7,4
Spain,26.3,8
Sweden,26.7,4
Switzerland,29.4,6
Tunisia,27.4,3
Turkiye,26.6,3
Uruguay,28.6,3
USA,26.7,5
Uzbekistan,26.9,3
