Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
1,Brenden Aaronson,3,1,33.3,1.eng Leeds United,eng,Europe
2,Thelo Aasgaard,2,1,50,1.sct Rangers,sct,Europe
3,Hamza Abdelkarim,0,0,,4.es Barcelona B,es,Europe
4,Hossam Abdelmaguid,0,0,,1.eg Zamalek SC,eg,Non-Europe
5,Mohamed Abdelmonem,0,0,,1.fr Nice,fr,Europe
6,Ali Abdi,1,0,0,1.fr Nice,fr,Europe
7,Saud Abdulhamid,2,0,0,1.fr Lens,fr,Europe
8,Abdulla Abdullaev,0,0,,1.ae Dibba Al Fujairah,ae,Non-Europe
9,Yusuf Abdurisag,0,0,,1.qa Al-Wakrah,qa,Non-Europe
10,Husam Abu Dahab,0,0,,1.kw Al-Salmiya SC,kw,Non-Europe
11,Mohammad Abu Hasheesh,0,0,,1.iq Al-Karma,iq,Non-Europe
12,Mohannad Abu Taha,1,0,0,1.iq Al-Quwa Al-Jawiya,iq,Non-Europe
13,Mo Abualnadi,0,0,,1.my Selangor FA,my,Non-Europe
14,Yazeed Abulaila,0,0,,1.jo Al-Hussein SC,jo,Non-Europe
15,Mahmoud Abunada,0,0,,1.qa Al Rayyan SC,qa,Non-Europe
16,Elias Achouri,3,1,33.3,1.dk FC Copenhagen,dk,Europe
17,Ch Adams,1,1,100,1.it Torino,it,Europe
18,Jayden Adams,0,0,,1.za Sundowns,za,Non-Europe
19,Tyler Adams,0,0,,1.eng Bournemouth,eng,Europe
20,Ricardo Ad,4,1,25,1.ec LDU Quito,ec,Non-Europe
21,Ibrahim Adel,0,0,,1.dk Nordsjlland,dk,Europe
22,Simon Adingra,0,0,,1.fr Monaco,fr,Europe
23,Jonas Adjetey,2,1,50,1.de Wolfsburg,de,Europe
24,Michel Aebischer,2,1,50,1.it Pisa,it,Europe
25,Akram Afif,2,0,0,1.qa Al Sadd,qa,Non-Europe
26,Emmanuel Agbadou,3,1,33.3,1.tr Be?ikta?,tr,Europe
27,Rodrigo Aguirre,0,0,,1.mx Amrica,mx,Non-Europe
28,Ali Ahmed,2,1,50,2.eng Norwich City,eng,Europe
29,Homam Ahmed,1,0,0,2.es Cultural Leonesa,es,Europe
30,Rayan At-Nouri,1,0,0,1.eng Manchester City,eng,Europe
31,Kristoffer Ajer,2,1,50,1.eng Brentford,eng,Europe
32,Manuel Akanji,1,1,100,1.it Inter,it,Europe
33,Nathan Ak,1,0,0,1.eng Manchester City,eng,Europe
34,Yunus Akgn,0,0,,1.tr Galatasaray,tr,Europe
35,Maghnes Akliouche,0,0,,1.fr Monaco,fr,Europe
36,Kerem Aktrko?lu,3,1,33.3,1.tr Fenerbahe,tr,Europe
37,Ahmed Alaaeldin,1,1,100,1.qa Al Rayyan SC,qa,Non-Europe
38,David Alaba,2,0,0,1.es Real Madrid,es,Europe
39,Kerim Alajbegovi?,4,1,25,1.at RB Salzburg,at,Europe
40,Jordy Alcivar,1,0,0,1.ec Independiente,ec,Non-Europe
41,Omar Alderete,1,0,0,1.eng Sunderland,eng,Europe
42,Almoez Ali,1,1,100,1.qa Al Duhail SC,qa,Non-Europe
43,Hussein Ali,1,0,0,1.pl Pogo? Szczecin,pl,Europe
44,Mohanad Ali,0,0,,1.ae Dibba Al Fujairah,ae,Non-Europe
45,Taha Ali,0,0,,1.se Malm,se,Europe
46,Khojiakbar Alijonov,0,0,,1.uz Pakhtakor Tashkent FK,uz,Non-Europe
47,Ali Alipour,1,0,0,1.ir Persepolis,ir,Non-Europe
