Rk,Player,Sh,SoT,SoT%,Club
1,Brenden Aaronson,3,1,33.3,1.eng Leeds United
2,Thelo Aasgaard,2,1,50,1.sct Rangers
3,Hamza Abdelkarim,0,0,,4.es Barcelona B
4,Hossam Abdelmaguid,0,0,,1.eg Zamalek SC
5,Mohamed Abdelmonem,0,0,,1.fr Nice
6,Ali Abdi,1,0,0,1.fr Nice
7,Saud Abdulhamid,2,0,0,1.fr Lens
8,Abdulla Abdullaev,0,0,,1.ae Dibba Al Fujairah
9,Yusuf Abdurisag,0,0,,1.qa Al-Wakrah
10,Husam Abu Dahab,0,0,,1.kw Al-Salmiya SC
11,Mohammad Abu Hasheesh,0,0,,1.iq Al-Karma
12,Mohannad Abu Taha,1,0,0,1.iq Al-Quwa Al-Jawiya
13,Mo Abualnadi,0,0,,1.my Selangor FA
14,Yazeed Abulaila,0,0,,1.jo Al-Hussein SC
15,Mahmoud Abunada,0,0,,1.qa Al Rayyan SC
16,Elias Achouri,3,1,33.3,1.dk FC Copenhagen
17,ChÇ Adams,1,1,100,1.it Torino
18,Jayden Adams,0,0,,1.za Sundowns
19,Tyler Adams,0,0,,1.eng Bournemouth
20,Ricardo AdÇ,4,1,25,1.ec LDU Quito
21,Ibrahim Adel,0,0,,1.dk Nordsjëlland
22,Simon Adingra,0,0,,1.fr Monaco
23,Jonas Adjetey,2,1,50,1.de Wolfsburg
24,Michel Aebischer,2,1,50,1.it Pisa
25,Akram Afif,2,0,0,1.qa Al Sadd
26,Emmanuel Agbadou,3,1,33.3,1.tr Be?ikta?
27,Rodrigo Aguirre,0,0,,1.mx AmÇrica
28,Ali Ahmed,2,1,50,2.eng Norwich City
29,Homam Ahmed,1,0,0,2.es Cultural Leonesa
30,Rayan Aãt-Nouri,1,0,0,1.eng Manchester City
31,Kristoffer Ajer,2,1,50,1.eng Brentford
32,Manuel Akanji,1,1,100,1.it Inter
33,Nathan AkÇ,1,0,0,1.eng Manchester City
34,Yunus AkgÅn,0,0,,1.tr Galatasaray
35,Maghnes Akliouche,0,0,,1.fr Monaco
36,Kerem AktÅrko?lu,3,1,33.3,1.tr Fenerbaháe
37,Ahmed Alaaeldin,1,1,100,1.qa Al Rayyan SC
38,David Alaba,2,0,0,1.es Real Madrid
39,Kerim Alajbegovi?,4,1,25,1.at RB Salzburg
40,Jordy Alcivar,1,0,0,1.ec Independiente
