Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
1,Brenden Aaronson,3,1,33.3,1.eng Leeds United,eng,Europe
16,Elias Achouri,3,1,33.3,1.dk FC Copenhagen,dk,Europe
20,Ricardo AdÂ,4,1,25.0,1.ec LDU Quito,ec,Non-Europe
26,Emmanuel Agbadou,3,1,33.3,1.tr Be?ikta?,tr,Europe
36,Kerem AktÂrko?lu,3,1,33.3,1.tr FenerbahÂe,tr,Europe
39,Kerim Alajbegovi?,4,1,25.0,1.at RB Salzburg,at,Europe
49,Thiago Almada,5,2,40.0,1.es AtlÂtico Madrid,es,Europe
50,Miguel AlmirÂ¢n,4,0,0.0,1.us Atlanta Utd,us,Non-Europe
51,JÂ£nior Alonso,3,1,33.3,1.br AtlÂtico Mineiro,br,Non-Europe
53,Roberto Alvarado,5,0,0.0,1.mx Guadalajara,mx,Non-Europe
55,JuliÂ n ?lvarez,11,5,45.5,1.es AtlÂtico Madrid,es,Europe
58,Michael Amir Murillo,5,1,20.0,1.tr Be?ikta?,tr,Europe
66,Elliot Anderson,7,1,14.3,1.eng Nottingham,eng,Europe
72,Houssem Aouar,3,1,33.3,1.sa Al-Ittihad,sa,Non-Europe
73,Oswin Appollis,4,1,25.0,1.za Orlando Pirates,za,Non-Europe
75,Maxi AraÂ£jo,4,3,75.0,1.pt Sporting CP,pt,Europe
81,Jhon Arias,9,4,44.4,1.br Palmeiras,br,Non-Europe
83,Marko Arnautovi?,3,3,100.0,1.rs Red Star,rs,Europe
85,Emam Ashour,10,2,20.0,1.eg Al Ahly,eg,Non-Europe
88,Marwan Attia,4,0,0.0,1.eg Al Ahly,eg,Non-Europe
91,Yasin Ayari,7,3,42.9,1.eng Brighton,eng,Europe
95,Neil El Aynaoui,7,2,28.6,1.it Roma,it,Europe
97,Juninho Bacuna,5,1,20.0,1.nl Volendam,nl,Europe
98,Leandro Bacuna,6,1,16.7,2.tr 76 I?d?r Belediyespor,tr,Europe
99,?lex Baena,12,5,41.7,1.es AtlÂtico Madrid,es,Europe
100,Esmir Bajraktarevic,3,2,66.7,1.nl PSV,nl,Europe
101,CÂdric Bakambu,3,0,0.0,1.es Real Betis,es,Europe
103,Folarin Balogun,14,5,35.7,1.fr Monaco,fr,Europe
107,Bradley Barcola,10,5,50.0,1.fr PSG,fr,Europe
108,AbdÂlkerim Bardakc?,3,1,33.3,1.tr Galatasaray,tr,Europe
109,Ivan Ba?i?,4,0,0.0,1.kz FC Astana,kz,Europe
111,Martin Baturina,3,1,33.3,1.it Como,it,Europe
120,Rafik Belghali,3,1,33.3,1.it Hellas Verona,it,Europe
122,Jean-Ricner Bellegarde,6,0,0.0,1.eng Wolves,eng,Europe
123,Jude Bellingham,19,13,68.4,1.es Real Madrid,es,Europe
131,Rodrigo Bentancur,4,0,0.0,1.eng Tottenham,eng,Europe
132,Patrick Berg,3,0,0.0,1.no Bod?/Glimt,no,Europe
135,Sebastian Berhalter,3,1,33.3,1.us Vancouver,us,Non-Europe
140,Oscar Bobb,4,2,50.0,1.eng Fulham,eng,Europe
144,Jordy Bos,5,2,40.0,1.nl Feyenoord,nl,Europe
145,Ayyoub Bouaddi,3,0,0.0,1.fr Lille,fr,Europe
154,Brian Brobbey,4,3,75.0,1.eng Sunderland,eng,Europe
156,Nathaniel Brown,3,2,66.7,1.de Frankfurt,de,Europe
157,Tajon Buchanan,6,3,50.0,1.es Villarreal,es,Europe
158,Ante Budimir,3,1,33.3,1.es Osasuna,es,Europe
167,SebastiÂ n CÂ ceres,3,0,0.0,1.mx AmÂrica,mx,Non-Europe
169,MoisÂs Caicedo,4,1,25.0,1.eng Chelsea,eng,Europe
171,Hakan Âalhano?lu,11,2,18.2,1.it Inter,it,Europe
